rain_1h,snow_1h,clouds_all,temp_c,Clouds,Clear,Rain,Drizzle,Mist,Haze,Fog,Thunderstorm,Snow,Squall,Smoke,hour,is_day_off,day_of_week,holiday_bool,month,date_time,traffic_volume
0.0,0.0,40,15.129999999999995,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,10,2012-10-02 09:00:00,5545
0.0,0.0,75,16.210000000000036,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,10,2012-10-02 10:00:00,4516
0.0,0.0,90,16.430000000000007,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,10,2012-10-02 11:00:00,4767
0.0,0.0,90,16.980000000000018,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,10,2012-10-02 12:00:00,5026
0.0,0.0,75,17.99000000000001,1,0,0,0,0,0,0,0,0,0,0,13,0,1,0,10,2012-10-02 13:00:00,4918
0.0,0.0,1,18.57000000000005,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,10,2012-10-02 14:00:00,5181
0.0,0.0,1,20.02000000000004,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,10,2012-10-02 15:00:00,5584
0.0,0.0,1,20.710000000000036,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,10,2012-10-02 16:00:00,6015
0.0,0.0,20,20.99000000000001,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,10,2012-10-02 17:00:00,5791
0.0,0.0,20,19.950000000000045,1,0,0,0,0,0,0,0,0,0,0,18,0,1,0,10,2012-10-02 18:00:00,4770
0.0,0.0,20,17.82000000000005,1,0,0,0,0,0,0,0,0,0,0,19,0,1,0,10,2012-10-02 19:00:00,3539
0.0,0.0,1,16.230000000000018,0,1,0,0,0,0,0,0,0,0,0,20,0,1,0,10,2012-10-02 20:00:00,2784
0.0,0.0,1,15.460000000000036,0,1,0,0,0,0,0,0,0,0,0,21,0,1,0,10,2012-10-02 21:00:00,2361
0.0,0.0,1,14.010000000000048,0,1,0,0,0,0,0,0,0,0,0,22,0,1,0,10,2012-10-02 22:00:00,1529
0.0,0.0,1,12.300000000000011,0,1,0,0,0,0,0,0,0,0,0,23,0,1,0,10,2012-10-02 23:00:00,963
0.0,0.0,1,11.480000000000018,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2012-10-03 00:00:00,506
0.0,0.0,1,10.32000000000005,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,10,2012-10-03 01:00:00,321
0.0,0.0,1,8.03000000000003,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,10,2012-10-03 02:00:00,273
0.0,0.0,1,7.939999999999998,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,10,2012-10-03 03:00:00,367
0.0,0.0,1,6.3799999999999955,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,10,2012-10-03 04:00:00,814
0.0,0.0,1,5.470000000000027,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,10,2012-10-03 05:00:00,2718
0.0,0.0,1,5.080000000000041,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,10,2012-10-03 06:00:00,5673
0.0,0.0,1,4.970000000000027,0,1,0,0,0,0,0,0,0,0,0,8,0,2,0,10,2012-10-03 08:00:00,6511
0.0,0.0,1,9.330000000000041,0,1,0,0,0,0,0,0,0,0,0,9,0,2,0,10,2012-10-03 09:00:00,5471
0.0,0.0,1,18.82000000000005,0,1,0,0,0,0,0,0,0,0,0,12,0,2,0,10,2012-10-03 12:00:00,5097
0.0,0.0,1,20.08000000000004,0,1,0,0,0,0,0,0,0,0,0,13,0,2,0,10,2012-10-03 13:00:00,4887
0.0,0.0,1,21.160000000000025,0,1,0,0,0,0,0,0,0,0,0,14,0,2,0,10,2012-10-03 14:00:00,5337
0.0,0.0,1,22.02000000000004,0,1,0,0,0,0,0,0,0,0,0,15,0,2,0,10,2012-10-03 15:00:00,5692
0.0,0.0,1,21.980000000000018,0,1,0,0,0,0,0,0,0,0,0,16,0,2,0,10,2012-10-03 16:00:00,6137
0.0,0.0,20,20.510000000000048,1,0,0,0,0,0,0,0,0,0,0,18,0,2,0,10,2012-10-03 18:00:00,4623
0.0,0.0,20,17.5,1,0,0,0,0,0,0,0,0,0,0,19,0,2,0,10,2012-10-03 19:00:00,3591
0.0,0.0,20,15.04000000000002,1,0,0,0,0,0,0,0,0,0,0,20,0,2,0,10,2012-10-03 20:00:00,2898
0.0,0.0,1,13.950000000000045,0,1,0,0,0,0,0,0,0,0,0,21,0,2,0,10,2012-10-03 21:00:00,2637
0.0,0.0,1,13.100000000000023,0,1,0,0,0,0,0,0,0,0,0,22,0,2,0,10,2012-10-03 22:00:00,1777
0.0,0.0,1,12.110000000000014,0,1,0,0,0,0,0,0,0,0,0,23,0,2,0,10,2012-10-03 23:00:00,1015
0.0,0.0,1,11.400000000000034,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2012-10-04 00:00:00,598
0.0,0.0,1,10.32000000000005,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,10,2012-10-04 01:00:00,369
0.0,0.0,1,10.020000000000039,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,10,2012-10-04 02:00:00,312
